genero_usuario,edad_usuario,Generacion,nombre_estacion_origen,duracion_recorrido
MALE,32,"Millennials Jóvenes","240 - ECHEVERRIA",1379
MALE,32,"Millennials Jóvenes","390 - De Los Ombues",1748
MALE,32,"Millennials Jóvenes","390 - De Los Ombues",1809
MALE,32,"Millennials Jóvenes","259 - PLAZA CASTELLI",1576
MALE,32,"Millennials Jóvenes","259 - PLAZA CASTELLI",1676
MALE,32,"Millennials Jóvenes","259 - PLAZA CASTELLI",2156
MALE,32,"Millennials Jóvenes","371 - Paseo de las Americas",844
MALE,32,"Millennials Jóvenes","259 - PLAZA CASTELLI",1081
MALE,32,"Millennials Jóvenes","371 - Paseo de las Americas",951
MALE,32,"Millennials Jóvenes","371 - Paseo de las Americas",892
MALE,32,"Millennials Jóvenes","259 - PLAZA CASTELLI",1117
MALE,32,"Millennials Jóvenes","259 - PLAZA CASTELLI",1121
MALE,32,"Millennials Jóvenes","259 - PLAZA CASTELLI",13099
MALE,32,"Millennials Jóvenes","259 - PLAZA CASTELLI",5553
MALE,32,"Millennials Jóvenes","259 - PLAZA CASTELLI",13222
MALE,32,"Millennials Jóvenes","259 - PLAZA CASTELLI",1578
MALE,32,"Millennials Jóvenes","259 - PLAZA CASTELLI",34124
MALE,32,"Millennials Jóvenes","390 - De Los Ombues",363
MALE,32,"Millennials Jóvenes","259 - PLAZA CASTELLI",276
MALE,32,"Millennials Jóvenes","381 - Matienzo Y Arce",543
MALE,25,"Millennials Jóvenes","173 - EL LIBERTADOR",1462
MALE,25,"Millennials Jóvenes","315 - BEIRO Y SAN MARTÍN",1156
MALE,25,"Millennials Jóvenes","173 - EL LIBERTADOR",1966
FEMALE,33,"Millennials Jóvenes","248 - Husares",785
FEMALE,33,"Millennials Jóvenes","248 - Husares",758
FEMALE,33,"Millennials Jóvenes","242 - Plazoleta Rafael del Riego",657
FEMALE,33,"Millennials Jóvenes","248 - Husares",767
FEMALE,33,"Millennials Jóvenes","255 - BARRANCAS DE BELGRANO",454
FEMALE,33,"Millennials Jóvenes","248 - Husares",855
FEMALE,33,"Millennials Jóvenes","255 - BARRANCAS DE BELGRANO",441
FEMALE,33,"Millennials Jóvenes","248 - Husares",931
FEMALE,33,"Millennials Jóvenes","248 - Husares",801
FEMALE,33,"Millennials Jóvenes","242 - Plazoleta Rafael del Riego",678
OTHER,30,"Millennials Jóvenes","056 - Plaza Palermo Viejo",789
OTHER,30,"Millennials Jóvenes","079 - AZUCENA VILLAFLOR",637
OTHER,30,"Millennials Jóvenes","034 - Colonia Express",608
OTHER,30,"Millennials Jóvenes","194 - PERÓN Y ACUÑA DE FIGUEROA",543
OTHER,30,"Millennials Jóvenes","142 - ARMENIA",860
MALE,27,"Millennials Jóvenes","161 - Humahuaca",772
MALE,27,"Millennials Jóvenes","332 - PACÍFICO II",971
MALE,27,"Millennials Jóvenes","161 - Humahuaca",824
MALE,27,"Millennials Jóvenes","054 - Acuña de Figueroa",793
MALE,27,"Millennials Jóvenes","332 - PACÍFICO II",1080
MALE,27,"Millennials Jóvenes","161 - Humahuaca",861
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",417
MALE,27,"Millennials Jóvenes","161 - Humahuaca",458
